timestamp,open,high,low,close,volume
2024-10-07,1.0500,1.0700,1.0400,1.0500,1594700
2024-10-04,1.0400,1.0800,1.0400,1.0500,3696500
2024-10-03,1.0200,1.0500,1.0100,1.0400,3666500
2024-10-02,1.0600,1.0700,1.0200,1.0200,7021100
2024-10-01,1.0800,1.0800,1.0400,1.0500,6743700
2024-09-30,1.1000,1.1100,1.0900,1.1000,872900
2024-09-27,1.0900,1.1100,1.0900,1.1000,1644400
2024-09-26,1.0800,1.1300,1.0700,1.0900,5207300
2024-09-25,1.0600,1.0900,1.0500,1.0800,3692900
2024-09-24,1.0900,1.1000,1.0600,1.0700,3190900
2024-09-23,1.0900,1.1100,1.0700,1.0700,3918900
2024-09-20,1.1300,1.1400,1.0900,1.0900,9851400
2024-09-19,1.1700,1.2100,1.1100,1.1300,9489100
2024-09-18,1.1200,1.2900,1.1200,1.1400,28590900
2024-09-17,1.1000,1.1300,1.0900,1.1100,4577500
2024-09-16,1.0900,1.1500,1.0700,1.0900,5795900
2024-09-13,1.0500,1.1300,1.0500,1.0900,8497900
2024-09-12,1.0600,1.0700,1.0400,1.0600,1389400
2024-09-11,1.0400,1.0700,1.0400,1.0600,4587000
2024-09-10,1.0300,1.0700,1.0300,1.0500,5861100
2024-09-09,1.0700,1.0700,1.0300,1.0300,2204400
2024-09-06,1.0700,1.0800,1.0500,1.0500,1473800
2024-09-05,1.0600,1.0800,1.0600,1.0700,1232600
2024-09-04,1.0400,1.0800,1.0400,1.0700,2323800
2024-09-03,1.0700,1.0900,1.0400,1.0400,3587400
2024-09-02,1.0600,1.0800,1.0500,1.0600,3350600
2024-08-30,1.1300,1.1600,1.0700,1.0800,7408800
2024-08-29,1.0900,1.1400,1.0100,1.1100,10094700
2024-08-28,1.0900,1.1000,1.0800,1.0900,2114400
2024-08-27,1.0900,1.1100,1.0900,1.0900,2337900
2024-08-26,1.1200,1.1200,1.0900,1.0900,1253000
2024-08-23,1.1000,1.1300,1.0900,1.1100,3368000
2024-08-22,1.0900,1.1000,1.0700,1.0900,3763100
2024-08-21,1.0900,1.1300,1.0800,1.0900,5612100
2024-08-20,1.0900,1.0900,1.0700,1.0800,2341500
2024-08-19,1.0900,1.1100,1.0800,1.1000,2887800
2024-08-17,1.1000,1.1000,1.0700,1.0800,1810200
2024-08-16,1.1000,1.1000,1.0700,1.0800,1810200
2024-08-15,1.1200,1.1300,1.0600,1.0700,5177400
2024-08-14,1.1500,1.1800,1.1500,1.1500,2551100
2024-08-13,1.1700,1.2000,1.1300,1.1500,5591700
2024-08-12,1.1000,1.2000,1.0800,1.1700,6620900
2024-08-09,1.0900,1.1200,1.0600,1.1000,5079200
2024-08-08,1.0800,1.1000,1.0700,1.0800,2009200
2024-08-07,1.0800,1.1000,1.0700,1.0800,2141800
2024-08-06,1.0800,1.0900,1.0600,1.0600,2885700
2024-08-05,1.0500,1.0800,1.0200,1.0800,6797100
2024-08-02,1.1100,1.1200,1.0800,1.0900,2895800
2024-08-01,1.1300,1.1500,1.1000,1.1000,3426400
2024-07-31,1.1500,1.1600,1.1300,1.1400,2834400
2024-07-30,1.1200,1.1600,1.1100,1.1500,3121500
2024-07-29,1.1700,1.1700,1.1200,1.1200,2669800
2024-07-26,1.1300,1.1600,1.1200,1.1600,2676100
2024-07-25,1.1200,1.1300,1.1100,1.1200,2293800
2024-07-24,1.1500,1.1600,1.1100,1.1100,3280700
2024-07-23,1.1900,1.2100,1.1500,1.1500,3449600
2024-07-22,1.1800,1.2300,1.1800,1.2000,4472200
2024-07-19,1.1800,1.2000,1.1400,1.1800,5023700
2024-07-18,1.2100,1.2200,1.1300,1.1700,11330800
2024-07-17,1.2500,1.2600,1.2100,1.2100,3804200
2024-07-16,1.2400,1.2700,1.2300,1.2400,4836300
2024-07-15,1.2500,1.2700,1.2100,1.2400,6545400
2024-07-12,1.2900,1.3000,1.2400,1.2500,4588100
2024-07-11,1.2100,1.2800,1.2100,1.2800,7950200
2024-07-10,1.2900,1.3100,1.2200,1.2200,10421000
2024-07-09,1.2400,1.3100,1.2400,1.2700,15401300
2024-07-08,1.1800,1.3300,1.1600,1.2300,31565900
2024-07-05,1.0700,1.2000,1.0700,1.1800,30468800
2024-07-04,1.0100,1.0700,1.0100,1.0600,7566100
2024-07-03,1.0000,1.0500,0.9900,1.0000,7045200
2024-07-02,0.9900,1.0000,0.9600,0.9900,4884600
2024-07-01,1.0200,1.0300,0.9800,0.9900,7376500
2024-06-29,1.0100,1.1700,0.9700,1.0300,0
2024-06-28,1.0100,1.1700,0.9700,1.0300,26587000
2024-06-27,0.9900,1.0000,0.9600,1.0000,4616100
2024-06-26,1.0200,1.0200,0.9600,0.9800,14027300
2024-06-25,1.0300,1.0400,1.0200,1.0200,2555300
2024-06-24,1.0200,1.0400,1.0100,1.0400,3877900
2024-06-21,1.0100,1.0300,1.0000,1.0200,4041400
2024-06-20,1.0300,1.0600,1.0000,1.0200,6122700
2024-06-19,1.0400,1.0400,1.0200,1.0300,3084200
2024-06-18,1.0600,1.0700,1.0300,1.0400,4872900
2024-06-17,1.0700,1.0800,1.0600,1.0700,2122200
2024-06-14,1.0700,1.0900,1.0600,1.0800,2132100
2024-06-13,1.0700,1.0900,1.0700,1.0800,2055600
2024-06-12,1.0900,1.1100,1.0700,1.0700,3992500
2024-06-11,1.0800,1.1000,1.0700,1.0900,2026700
2024-06-10,1.1000,1.1100,1.0700,1.0800,4228800
2024-06-07,1.1100,1.1200,1.0800,1.1000,7064200
2024-06-06,1.1100,1.1400,1.1000,1.1200,7434400
2024-06-05,1.1300,1.1600,1.1100,1.1200,7135900
2024-06-04,1.1500,1.1500,1.1100,1.1300,4313400
2024-06-03,1.1100,1.1900,1.0900,1.1400,11117600
2024-05-31,1.1500,1.1600,1.0800,1.1100,15185900
2024-05-29,1.2800,1.2900,1.1500,1.1500,25921100
2024-05-28,1.3500,1.3600,1.2700,1.2800,20491100
2024-05-27,1.4400,1.4600,1.3200,1.3600,11655400
2024-05-24,1.3800,1.5000,1.3700,1.4100,25657700
2024-05-23,1.3000,1.3600,1.2600,1.2600,8177400
2024-05-22,1.2200,1.4600,1.2100,1.3000,21858200
